_id,_type,category,item,oid
154,vertex,4,oid,154
155,vertex,2,oid,155
156,vertex,16,oid,156
157,vertex,8,oid,157
158,vertex,12,oid,158
159,vertex,19,oid,159
160,vertex,15,oid,160
161,vertex,19,oid,161
162,vertex,10,oid,162
163,vertex,25,oid,163
164,vertex,2,oid,164
166,vertex,8,oid,166
167,vertex,20,oid,167
168,vertex,8,oid,168
169,vertex,25,oid,169
170,vertex,5,oid,170
171,vertex,25,oid,171
172,vertex,1,oid,172
174,vertex,2,oid,174
175,vertex,11,oid,175
179,vertex,24,oid,179
181,vertex,8,oid,181
182,vertex,5,oid,182
183,vertex,2,oid,183
184,vertex,22,oid,184
185,vertex,16,oid,185
186,vertex,5,oid,186
187,vertex,25,oid,187
188,vertex,14,oid,188
189,vertex,9,oid,189
192,vertex,9,oid,192
193,vertex,2,oid,193
194,vertex,8,oid,194
196,vertex,9,oid,196
198,vertex,25,oid,198
199,vertex,9,oid,199
202,vertex,1,oid,202
204,vertex,8,oid,204
205,vertex,14,oid,205
206,vertex,12,oid,206
208,vertex,14,oid,208
209,vertex,11,oid,209
210,vertex,25,oid,210
211,vertex,9,oid,211
212,vertex,20,oid,212
213,vertex,9,oid,213
214,vertex,12,oid,214
215,vertex,22,oid,215
216,vertex,16,oid,216
217,vertex,22,oid,217
218,vertex,28,oid,218
219,vertex,16,oid,219
220,vertex,8,oid,220
222,vertex,13,oid,222
223,vertex,24,oid,223
224,vertex,2,oid,224
225,vertex,25,oid,225
226,vertex,24,oid,226
228,vertex,1,oid,228
229,vertex,24,oid,229
230,vertex,20,oid,230
231,vertex,8,oid,231
233,vertex,1,oid,233
234,vertex,6,oid,234
235,vertex,21,oid,235
237,vertex,1,oid,237
238,vertex,13,oid,238
239,vertex,8,oid,239
242,vertex,10,oid,242
243,vertex,24,oid,243
245,vertex,16,oid,245
247,vertex,4,oid,247
248,vertex,8,oid,248
249,vertex,8,oid,249
250,vertex,16,oid,250
252,vertex,6,oid,252
254,vertex,22,oid,254
257,vertex,3,oid,257
258,vertex,24,oid,258
259,vertex,4,oid,259
260,vertex,25,oid,260
261,vertex,16,oid,261
262,vertex,18,oid,262
263,vertex,25,oid,263
264,vertex,25,oid,264
265,vertex,16,oid,265
266,vertex,1,oid,266
268,vertex,25,oid,268
269,vertex,24,oid,269
270,vertex,24,oid,270
271,vertex,27,oid,271
272,vertex,25,oid,272
273,vertex,25,oid,273
274,vertex,28,oid,274
275,vertex,15,oid,275
276,vertex,3,oid,276
277,vertex,8,oid,277
278,vertex,1,oid,278
279,vertex,4,oid,279
281,vertex,22,oid,281
282,vertex,25,oid,282
283,vertex,9,oid,283
285,vertex,10,oid,285
286,vertex,8,oid,286
287,vertex,25,oid,287
289,vertex,25,oid,289
291,vertex,18,oid,291
293,vertex,8,oid,293
296,vertex,15,oid,296
297,vertex,25,oid,297
298,vertex,4,oid,298
299,vertex,10,oid,299
300,vertex,12,oid,300
301,vertex,17,oid,301
302,vertex,6,oid,302
303,vertex,24,oid,303
304,vertex,5,oid,304
305,vertex,20,oid,305
306,vertex,9,oid,306
307,vertex,24,oid,307
310,vertex,19,oid,310
311,vertex,10,oid,311
312,vertex,26,oid,312
313,vertex,9,oid,313
314,vertex,27,oid,314
315,vertex,22,oid,315
316,vertex,28,oid,316
317,vertex,1,oid,317
318,vertex,25,oid,318
319,vertex,4,oid,319
320,vertex,14,oid,320
321,vertex,17,oid,321
323,vertex,14,oid,323
324,vertex,7,oid,324
325,vertex,12,oid,325
326,vertex,17,oid,326
327,vertex,16,oid,327
328,vertex,25,oid,328
329,vertex,19,oid,329
330,vertex,20,oid,330
331,vertex,25,oid,331
333,vertex,25,oid,333
334,vertex,8,oid,334
335,vertex,7,oid,335
336,vertex,7,oid,336
337,vertex,24,oid,337
338,vertex,2,oid,338
340,vertex,22,oid,340
341,vertex,8,oid,341
342,vertex,25,oid,342
343,vertex,11,oid,343
344,vertex,12,oid,344
345,vertex,20,oid,345
346,vertex,24,oid,346
347,vertex,12,oid,347
349,vertex,24,oid,349
350,vertex,17,oid,350
351,vertex,25,oid,351
353,vertex,25,oid,353
355,vertex,21,oid,355
357,vertex,1,oid,357
358,vertex,18,oid,358
359,vertex,24,oid,359
360,vertex,9,oid,360
361,vertex,22,oid,361
363,vertex,15,oid,363
364,vertex,25,oid,364
365,vertex,24,oid,365
366,vertex,8,oid,366
367,vertex,9,oid,367
368,vertex,13,oid,368
369,vertex,26,oid,369
370,vertex,8,oid,370
371,vertex,20,oid,371
372,vertex,5,oid,372
373,vertex,2,oid,373
374,vertex,2,oid,374
375,vertex,20,oid,375
376,vertex,19,oid,376
377,vertex,25,oid,377
379,vertex,1,oid,379
380,vertex,17,oid,380
381,vertex,25,oid,381
385,vertex,9,oid,385
386,vertex,25,oid,386
387,vertex,7,oid,387
388,vertex,19,oid,388
390,vertex,22,oid,390
391,vertex,17,oid,391
393,vertex,6,oid,393
394,vertex,8,oid,394
395,vertex,14,oid,395
396,vertex,2,oid,396
398,vertex,25,oid,398
399,vertex,25,oid,399
400,vertex,26,oid,400
402,vertex,25,oid,402
403,vertex,16,oid,403
404,vertex,24,oid,404
407,vertex,3,oid,407
408,vertex,8,oid,408
409,vertex,25,oid,409
410,vertex,20,oid,410
412,vertex,16,oid,412
413,vertex,10,oid,413
414,vertex,22,oid,414
415,vertex,12,oid,415
416,vertex,9,oid,416
417,vertex,11,oid,417
418,vertex,16,oid,418
419,vertex,10,oid,419
420,vertex,20,oid,420
421,vertex,20,oid,421
422,vertex,24,oid,422
423,vertex,25,oid,423
424,vertex,13,oid,424
425,vertex,25,oid,425
426,vertex,8,oid,426
427,vertex,12,oid,427
428,vertex,4,oid,428
429,vertex,5,oid,429
430,vertex,7,oid,430
431,vertex,17,oid,431
433,vertex,25,oid,433
434,vertex,12,oid,434
436,vertex,24,oid,436
437,vertex,8,oid,437
438,vertex,8,oid,438
439,vertex,7,oid,439
440,vertex,9,oid,440
441,vertex,25,oid,441
442,vertex,25,oid,442
443,vertex,10,oid,443
444,vertex,20,oid,444
445,vertex,23,oid,445
446,vertex,3,oid,446
449,vertex,25,oid,449
450,vertex,16,oid,450
451,vertex,9,oid,451
453,vertex,10,oid,453
454,vertex,25,oid,454
458,vertex,16,oid,458
459,vertex,9,oid,459
460,vertex,25,oid,460
461,vertex,4,oid,461
463,vertex,25,oid,463
464,vertex,25,oid,464
465,vertex,4,oid,465
466,vertex,7,oid,466
468,vertex,25,oid,468
470,vertex,9,oid,470
472,vertex,21,oid,472
475,vertex,15,oid,475
476,vertex,25,oid,476
477,vertex,25,oid,477
478,vertex,11,oid,478
479,vertex,20,oid,479
481,vertex,25,oid,481
482,vertex,25,oid,482
484,vertex,25,oid,484
485,vertex,12,oid,485
487,vertex,15,oid,487
488,vertex,20,oid,488
489,vertex,9,oid,489
490,vertex,6,oid,490
491,vertex,24,oid,491
492,vertex,20,oid,492
493,vertex,1,oid,493
494,vertex,7,oid,494
497,vertex,25,oid,497
498,vertex,12,oid,498
499,vertex,25,oid,499
500,vertex,18,oid,500
501,vertex,24,oid,501
503,vertex,3,oid,503
504,vertex,4,oid,504
505,vertex,7,oid,505
506,vertex,25,oid,506
507,vertex,25,oid,507
508,vertex,12,oid,508
509,vertex,1,oid,509
510,vertex,27,oid,510
512,vertex,25,oid,512
513,vertex,16,oid,513
515,vertex,16,oid,515
516,vertex,6,oid,516
517,vertex,7,oid,517
518,vertex,25,oid,518
519,vertex,17,oid,519
520,vertex,7,oid,520
522,vertex,4,oid,522
523,vertex,24,oid,523
524,vertex,25,oid,524
525,vertex,25,oid,525
526,vertex,15,oid,526
527,vertex,20,oid,527
528,vertex,10,oid,528
529,vertex,20,oid,529
530,vertex,10,oid,530
531,vertex,25,oid,531
533,vertex,20,oid,533
535,vertex,8,oid,535
536,vertex,4,oid,536
537,vertex,25,oid,537
538,vertex,25,oid,538
539,vertex,25,oid,539
541,vertex,13,oid,541
543,vertex,8,oid,543
544,vertex,9,oid,544
546,vertex,18,oid,546
548,vertex,22,oid,548
550,vertex,25,oid,550
551,vertex,13,oid,551
552,vertex,10,oid,552
553,vertex,10,oid,553
554,vertex,10,oid,554
555,vertex,5,oid,555
556,vertex,25,oid,556
557,vertex,20,oid,557
560,vertex,25,oid,560
561,vertex,9,oid,561
562,vertex,25,oid,562
563,vertex,25,oid,563
564,vertex,9,oid,564
565,vertex,25,oid,565
566,vertex,25,oid,566
567,vertex,8,oid,567
568,vertex,25,oid,568
570,vertex,2,oid,570
571,vertex,7,oid,571
572,vertex,25,oid,572
573,vertex,23,oid,573
574,vertex,8,oid,574
575,vertex,9,oid,575
576,vertex,11,oid,576
577,vertex,22,oid,577
578,vertex,16,oid,578
579,vertex,25,oid,579
580,vertex,7,oid,580
581,vertex,1,oid,581
582,vertex,25,oid,582
583,vertex,13,oid,583
584,vertex,8,oid,584
585,vertex,5,oid,585
586,vertex,25,oid,586
587,vertex,18,oid,587
589,vertex,25,oid,589
590,vertex,8,oid,590
591,vertex,21,oid,591
593,vertex,22,oid,593
594,vertex,13,oid,594
595,vertex,9,oid,595
597,vertex,25,oid,597
598,vertex,12,oid,598
599,vertex,17,oid,599
600,vertex,25,oid,600
601,vertex,6,oid,601
604,vertex,3,oid,604
606,vertex,20,oid,606
607,vertex,13,oid,607
608,vertex,25,oid,608
609,vertex,9,oid,609
610,vertex,17,oid,610
611,vertex,4,oid,611
612,vertex,16,oid,612
613,vertex,13,oid,613
614,vertex,10,oid,614
615,vertex,24,oid,615
616,vertex,6,oid,616
617,vertex,8,oid,617
618,vertex,11,oid,618
619,vertex,24,oid,619
620,vertex,24,oid,620
621,vertex,9,oid,621
622,vertex,24,oid,622
624,vertex,20,oid,624
627,vertex,17,oid,627
631,vertex,25,oid,631
632,vertex,22,oid,632
633,vertex,24,oid,633
635,vertex,25,oid,635
636,vertex,17,oid,636
637,vertex,8,oid,637
638,vertex,9,oid,638
639,vertex,3,oid,639
640,vertex,24,oid,640
643,vertex,25,oid,643
644,vertex,25,oid,644
645,vertex,10,oid,645
646,vertex,12,oid,646
647,vertex,10,oid,647
649,vertex,8,oid,649
650,vertex,25,oid,650
651,vertex,25,oid,651
652,vertex,20,oid,652
653,vertex,28,oid,653
655,vertex,8,oid,655
657,vertex,28,oid,657
658,vertex,18,oid,658
659,vertex,16,oid,659
660,vertex,14,oid,660
661,vertex,23,oid,661
662,vertex,12,oid,662
663,vertex,22,oid,663
664,vertex,25,oid,664
665,vertex,3,oid,665
667,vertex,25,oid,667
668,vertex,7,oid,668
669,vertex,6,oid,669
670,vertex,6,oid,670
671,vertex,12,oid,671
672,vertex,25,oid,672
673,vertex,1,oid,673
674,vertex,15,oid,674
676,vertex,17,oid,676
677,vertex,20,oid,677
678,vertex,10,oid,678
679,vertex,25,oid,679
680,vertex,16,oid,680
681,vertex,2,oid,681
682,vertex,25,oid,682
683,vertex,25,oid,683
684,vertex,16,oid,684
685,vertex,25,oid,685
686,vertex,11,oid,686
689,vertex,25,oid,689
690,vertex,25,oid,690
692,vertex,11,oid,692
695,vertex,25,oid,695
696,vertex,24,oid,696
697,vertex,15,oid,697
698,vertex,17,oid,698
699,vertex,1,oid,699
700,vertex,24,oid,700
701,vertex,13,oid,701
702,vertex,4,oid,702
704,vertex,25,oid,704
706,vertex,15,oid,706
707,vertex,25,oid,707
709,vertex,25,oid,709
710,vertex,11,oid,710
711,vertex,4,oid,711
712,vertex,25,oid,712
714,vertex,8,oid,714
717,vertex,8,oid,717
718,vertex,25,oid,718
720,vertex,5,oid,720
721,vertex,4,oid,721
722,vertex,8,oid,722
723,vertex,25,oid,723
724,vertex,20,oid,724
725,vertex,28,oid,725
727,vertex,10,oid,727
728,vertex,15,oid,728
730,vertex,24,oid,730
731,vertex,9,oid,731
732,vertex,9,oid,732
734,vertex,24,oid,734
735,vertex,8,oid,735
736,vertex,8,oid,736
739,vertex,5,oid,739
741,vertex,16,oid,741
742,vertex,25,oid,742
743,vertex,25,oid,743
745,vertex,21,oid,745
747,vertex,24,oid,747
748,vertex,25,oid,748
750,vertex,6,oid,750
752,vertex,25,oid,752
753,vertex,25,oid,753
754,vertex,24,oid,754
755,vertex,25,oid,755
756,vertex,15,oid,756
757,vertex,25,oid,757
758,vertex,24,oid,758
759,vertex,17,oid,759
760,vertex,15,oid,760
761,vertex,10,oid,761
762,vertex,25,oid,762
763,vertex,5,oid,763
764,vertex,3,oid,764
765,vertex,15,oid,765
766,vertex,25,oid,766
767,vertex,4,oid,767
768,vertex,4,oid,768
769,vertex,24,oid,769
770,vertex,25,oid,770
771,vertex,9,oid,771
772,vertex,11,oid,772
773,vertex,5,oid,773
774,vertex,22,oid,774
775,vertex,24,oid,775
776,vertex,16,oid,776
778,vertex,8,oid,778
779,vertex,7,oid,779
781,vertex,25,oid,781
782,vertex,1,oid,782
783,vertex,20,oid,783
784,vertex,25,oid,784
785,vertex,17,oid,785
786,vertex,5,oid,786
787,vertex,20,oid,787
790,vertex,20,oid,790
791,vertex,17,oid,791
792,vertex,24,oid,792
793,vertex,20,oid,793
794,vertex,4,oid,794
795,vertex,18,oid,795
796,vertex,11,oid,796
798,vertex,27,oid,798
799,vertex,25,oid,799
800,vertex,18,oid,800
801,vertex,8,oid,801
802,vertex,24,oid,802
803,vertex,2,oid,803
804,vertex,7,oid,804
805,vertex,21,oid,805
806,vertex,25,oid,806
807,vertex,25,oid,807
808,vertex,25,oid,808
809,vertex,19,oid,809
810,vertex,12,oid,810
811,vertex,10,oid,811
812,vertex,8,oid,812
813,vertex,8,oid,813
814,vertex,4,oid,814
815,vertex,13,oid,815
817,vertex,6,oid,817
818,vertex,20,oid,818
819,vertex,9,oid,819
821,vertex,16,oid,821
822,vertex,12,oid,822
824,vertex,10,oid,824
825,vertex,8,oid,825
826,vertex,7,oid,826
827,vertex,8,oid,827
828,vertex,18,oid,828
830,vertex,8,oid,830
831,vertex,8,oid,831
832,vertex,20,oid,832
833,vertex,20,oid,833
834,vertex,25,oid,834
835,vertex,10,oid,835
836,vertex,25,oid,836
837,vertex,25,oid,837
838,vertex,9,oid,838
839,vertex,24,oid,839
840,vertex,4,oid,840
841,vertex,10,oid,841
842,vertex,24,oid,842
843,vertex,16,oid,843
844,vertex,25,oid,844
845,vertex,21,oid,845
846,vertex,9,oid,846
848,vertex,27,oid,848
849,vertex,20,oid,849
850,vertex,20,oid,850
851,vertex,11,oid,851
852,vertex,28,oid,852
853,vertex,17,oid,853
854,vertex,8,oid,854
856,vertex,24,oid,856
857,vertex,16,oid,857
859,vertex,5,oid,859
860,vertex,8,oid,860
861,vertex,12,oid,861
862,vertex,25,oid,862
863,vertex,6,oid,863
864,vertex,8,oid,864
865,vertex,24,oid,865
866,vertex,14,oid,866
867,vertex,14,oid,867
868,vertex,8,oid,868
869,vertex,15,oid,869
870,vertex,17,oid,870
871,vertex,26,oid,871
872,vertex,17,oid,872
873,vertex,8,oid,873
874,vertex,25,oid,874
875,vertex,25,oid,875
876,vertex,24,oid,876
877,vertex,2,oid,877
878,vertex,12,oid,878
879,vertex,9,oid,879
880,vertex,5,oid,880
882,vertex,25,oid,882
884,vertex,20,oid,884
885,vertex,24,oid,885
886,vertex,25,oid,886
887,vertex,25,oid,887
888,vertex,15,oid,888
890,vertex,20,oid,890
891,vertex,25,oid,891
892,vertex,6,oid,892
893,vertex,8,oid,893
894,vertex,25,oid,894
895,vertex,16,oid,895
896,vertex,19,oid,896
897,vertex,18,oid,897
898,vertex,20,oid,898
901,vertex,20,oid,901
902,vertex,24,oid,902
903,vertex,8,oid,903
904,vertex,8,oid,904
905,vertex,4,oid,905
906,vertex,8,oid,906
907,vertex,25,oid,907
908,vertex,20,oid,908
909,vertex,24,oid,909
910,vertex,10,oid,910
911,vertex,26,oid,911
912,vertex,3,oid,912
913,vertex,7,oid,913
914,vertex,11,oid,914
915,vertex,25,oid,915
916,vertex,25,oid,916
918,vertex,17,oid,918
919,vertex,17,oid,919
920,vertex,9,oid,920
921,vertex,25,oid,921
922,vertex,24,oid,922
923,vertex,9,oid,923
925,vertex,25,oid,925
926,vertex,20,oid,926
928,vertex,24,oid,928
930,vertex,20,oid,930
931,vertex,28,oid,931
932,vertex,16,oid,932
933,vertex,16,oid,933
935,vertex,24,oid,935
936,vertex,9,oid,936
939,vertex,24,oid,939
940,vertex,25,oid,940
941,vertex,25,oid,941
942,vertex,7,oid,942
943,vertex,2,oid,943
944,vertex,5,oid,944
945,vertex,25,oid,945
946,vertex,25,oid,946
947,vertex,25,oid,947
948,vertex,25,oid,948
949,vertex,4,oid,949
950,vertex,12,oid,950
951,vertex,6,oid,951
952,vertex,2,oid,952
953,vertex,4,oid,953
954,vertex,20,oid,954
955,vertex,25,oid,955
956,vertex,8,oid,956
957,vertex,5,oid,957
959,vertex,24,oid,959
960,vertex,24,oid,960
961,vertex,7,oid,961
962,vertex,19,oid,962
963,vertex,12,oid,963
964,vertex,25,oid,964
965,vertex,8,oid,965
966,vertex,6,oid,966
967,vertex,28,oid,967
968,vertex,25,oid,968
969,vertex,24,oid,969
970,vertex,12,oid,970
971,vertex,25,oid,971
972,vertex,20,oid,972
974,vertex,10,oid,974
975,vertex,24,oid,975
976,vertex,15,oid,976
981,vertex,4,oid,981
982,vertex,18,oid,982
983,vertex,9,oid,983
984,vertex,12,oid,984
986,vertex,5,oid,986
988,vertex,12,oid,988
989,vertex,24,oid,989
990,vertex,24,oid,990
991,vertex,25,oid,991
992,vertex,20,oid,992
993,vertex,8,oid,993
994,vertex,4,oid,994
995,vertex,24,oid,995
997,vertex,15,oid,997
998,vertex,11,oid,998
999,vertex,11,oid,999
1000,vertex,25,oid,1000
1002,vertex,8,oid,1002
1003,vertex,21,oid,1003
1004,vertex,13,oid,1004
1005,vertex,22,oid,1005
1006,vertex,8,oid,1006
1007,vertex,12,oid,1007
1008,vertex,1,oid,1008
1009,vertex,25,oid,1009
1010,vertex,20,oid,1010
1012,vertex,22,oid,1012
1013,vertex,25,oid,1013
1014,vertex,20,oid,1014
1017,vertex,9,oid,1017
1018,vertex,25,oid,1018
1019,vertex,17,oid,1019
1020,vertex,9,oid,1020
1021,vertex,10,oid,1021
1022,vertex,5,oid,1022
1024,vertex,10,oid,1024
1025,vertex,7,oid,1025
1026,vertex,22,oid,1026
1027,vertex,24,oid,1027
1028,vertex,25,oid,1028
1030,vertex,16,oid,1030
1031,vertex,7,oid,1031
1033,vertex,24,oid,1033
1034,vertex,13,oid,1034
1035,vertex,8,oid,1035
1036,vertex,9,oid,1036
1037,vertex,5,oid,1037
1038,vertex,10,oid,1038
1039,vertex,1,oid,1039
1040,vertex,17,oid,1040
1041,vertex,8,oid,1041
1042,vertex,10,oid,1042
1044,vertex,12,oid,1044
1048,vertex,24,oid,1048
1050,vertex,25,oid,1050
1051,vertex,10,oid,1051
1052,vertex,20,oid,1052
1054,vertex,24,oid,1054
1056,vertex,16,oid,1056
1057,vertex,14,oid,1057
1058,vertex,26,oid,1058
1059,vertex,25,oid,1059
1060,vertex,24,oid,1060
1062,vertex,1,oid,1062
1064,vertex,10,oid,1064
1065,vertex,19,oid,1065
1066,vertex,12,oid,1066
1068,vertex,6,oid,1068
1071,vertex,2,oid,1071
1072,vertex,12,oid,1072
1074,vertex,9,oid,1074
1075,vertex,25,oid,1075
1076,vertex,10,oid,1076
1077,vertex,20,oid,1077
1078,vertex,25,oid,1078
1079,vertex,25,oid,1079
1080,vertex,25,oid,1080
1081,vertex,5,oid,1081
1082,vertex,16,oid,1082
1083,vertex,20,oid,1083
1084,vertex,25,oid,1084
1085,vertex,25,oid,1085
1086,vertex,22,oid,1086
1087,vertex,25,oid,1087
1088,vertex,20,oid,1088
1089,vertex,12,oid,1089
1090,vertex,25,oid,1090
1091,vertex,5,oid,1091
1092,vertex,21,oid,1092
1093,vertex,15,oid,1093
1094,vertex,25,oid,1094
1097,vertex,4,oid,1097
1098,vertex,20,oid,1098
1099,vertex,25,oid,1099
1100,vertex,25,oid,1100
1101,vertex,4,oid,1101
1102,vertex,8,oid,1102
1103,vertex,8,oid,1103
1104,vertex,20,oid,1104
1105,vertex,14,oid,1105
1106,vertex,24,oid,1106
1108,vertex,19,oid,1108
1109,vertex,6,oid,1109
1111,vertex,17,oid,1111
1112,vertex,25,oid,1112
1114,vertex,13,oid,1114
1115,vertex,25,oid,1115
1116,vertex,24,oid,1116
1117,vertex,9,oid,1117
1118,vertex,15,oid,1118
1119,vertex,20,oid,1119
1121,vertex,25,oid,1121
1122,vertex,4,oid,1122
1124,vertex,24,oid,1124
1125,vertex,8,oid,1125
1126,vertex,12,oid,1126
1127,vertex,4,oid,1127
1128,vertex,25,oid,1128
1130,vertex,25,oid,1130
1131,vertex,18,oid,1131
1132,vertex,8,oid,1132
1133,vertex,25,oid,1133
1134,vertex,17,oid,1134
1135,vertex,15,oid,1135
1136,vertex,11,oid,1136
1138,vertex,25,oid,1138
1140,vertex,10,oid,1140
1141,vertex,20,oid,1141
1142,vertex,4,oid,1142
1144,vertex,8,oid,1144
1145,vertex,25,oid,1145
1146,vertex,14,oid,1146
1147,vertex,18,oid,1147
1148,vertex,25,oid,1148
1149,vertex,8,oid,1149
1150,vertex,9,oid,1150
1152,vertex,24,oid,1152
1153,vertex,9,oid,1153
1154,vertex,17,oid,1154
1155,vertex,25,oid,1155
1158,vertex,22,oid,1158
1159,vertex,6,oid,1159
1160,vertex,25,oid,1160
1161,vertex,25,oid,1161
1163,vertex,25,oid,1163
1164,vertex,25,oid,1164
1165,vertex,20,oid,1165
1166,vertex,18,oid,1166
1167,vertex,6,oid,1167
1168,vertex,17,oid,1168
1169,vertex,11,oid,1169
1170,vertex,25,oid,1170
1171,vertex,15,oid,1171
1172,vertex,7,oid,1172
1173,vertex,25,oid,1173
1174,vertex,25,oid,1174
1175,vertex,8,oid,1175
1176,vertex,24,oid,1176
1177,vertex,25,oid,1177
1178,vertex,25,oid,1178
1179,vertex,20,oid,1179
1180,vertex,29,oid,1180
1181,vertex,25,oid,1181
1182,vertex,12,oid,1182
1183,vertex,24,oid,1183
1184,vertex,24,oid,1184
1185,vertex,25,oid,1185
1186,vertex,24,oid,1186
1187,vertex,17,oid,1187
1189,vertex,16,oid,1189
1190,vertex,25,oid,1190
1191,vertex,6,oid,1191
1192,vertex,20,oid,1192
1194,vertex,24,oid,1194
1195,vertex,9,oid,1195
1196,vertex,25,oid,1196
1197,vertex,25,oid,1197
1200,vertex,10,oid,1200
1201,vertex,2,oid,1201
1202,vertex,25,oid,1202
1204,vertex,25,oid,1204
1205,vertex,10,oid,1205
1206,vertex,24,oid,1206
1208,vertex,17,oid,1208
1209,vertex,24,oid,1209
1210,vertex,24,oid,1210
1211,vertex,24,oid,1211
1212,vertex,25,oid,1212
1213,vertex,24,oid,1213
1214,vertex,5,oid,1214
1215,vertex,24,oid,1215
1216,vertex,9,oid,1216
1217,vertex,9,oid,1217
1221,vertex,13,oid,1221
1222,vertex,22,oid,1222
1224,vertex,26,oid,1224
1226,vertex,24,oid,1226
1229,vertex,24,oid,1229
1230,vertex,24,oid,1230
1231,vertex,25,oid,1231
1232,vertex,25,oid,1232
1235,vertex,3,oid,1235
1237,vertex,22,oid,1237
1238,vertex,25,oid,1238
1239,vertex,25,oid,1239
1240,vertex,6,oid,1240
1241,vertex,16,oid,1241
1242,vertex,24,oid,1242
1243,vertex,11,oid,1243
1244,vertex,24,oid,1244
1245,vertex,25,oid,1245
1246,vertex,11,oid,1246
1247,vertex,22,oid,1247
1248,vertex,27,oid,1248
1249,vertex,25,oid,1249
1250,vertex,7,oid,1250
1251,vertex,6,oid,1251
1252,vertex,17,oid,1252
1253,vertex,6,oid,1253
1254,vertex,25,oid,1254
1255,vertex,9,oid,1255
1256,vertex,24,oid,1256
1257,vertex,25,oid,1257
1258,vertex,18,oid,1258
1260,vertex,8,oid,1260
1261,vertex,22,oid,1261
1262,vertex,21,oid,1262
1263,vertex,14,oid,1263
1264,vertex,14,oid,1264
1266,vertex,8,oid,1266
1268,vertex,2,oid,1268
1270,vertex,18,oid,1270
1271,vertex,29,oid,1271
1272,vertex,8,oid,1272
1274,vertex,7,oid,1274
1275,vertex,2,oid,1275
1276,vertex,24,oid,1276
1278,vertex,17,oid,1278
1280,vertex,10,oid,1280
1281,vertex,8,oid,1281
1282,vertex,2,oid,1282
1283,vertex,9,oid,1283
1284,vertex,13,oid,1284
1285,vertex,5,oid,1285
1286,vertex,24,oid,1286
1287,vertex,15,oid,1287
1288,vertex,2,oid,1288
1292,vertex,8,oid,1292
1295,vertex,7,oid,1295
