_id,_inV,_label,_outV,_type,item
3230,185,D-P,709,edge,_label
3232,185,O-P,844,edge,_label
3251,186,D-D,186,edge,_label
3252,186,D-D,186,edge,_label
3271,1551,D-R,186,edge,_label
3284,186,M-D,2349,edge,_label
3301,1052,D-B,188,edge,_label
3302,188,B-D,1052,edge,_label
3314,189,M-D,193,edge,_label
3315,283,D-P,189,edge,_label
3333,191,D-C,190,edge,_label
3334,190,C-D,191,edge,_label
3342,190,U-D,311,edge,_label
3356,190,C-D,2001,edge,_label
3362,191,F-C,1476,edge,_label
3364,191,E-C,1521,edge,_label
3422,196,M-C,1971,edge,_label
3423,2342,C-F,196,edge,_label
3433,283,D-P,197,edge,_label
3435,1337,D-F,197,edge,_label
3451,1656,D-T,198,edge,_label
3467,498,P-P,199,edge,_label
3478,199,U-P,887,edge,_label
3485,1323,P-G,199,edge,_label
3487,1392,P-U,199,edge,_label
3504,199,P-P,1854,edge,_label
3534,202,D-D,356,edge,_label
3535,394,D-D,202,edge,_label
3587,1443,T-D,208,edge,_label
3709,321,O-O,210,edge,_label
3717,325,O-O,210,edge,_label
3747,2053,O-D,210,edge,_label
3754,210,U-O,2267,edge,_label
3766,212,B-B,214,edge,_label
3777,404,B-B,212,edge,_label
3780,212,U-B,437,edge,_label
3799,1172,B-B,212,edge,_label
3822,213,M-G,664,edge,_label
3827,1443,G-D,213,edge,_label
3841,302,B-T,214,edge,_label
3846,214,B-B,403,edge,_label
3859,1097,B-U,214,edge,_label
3899,1787,F-F,218,edge,_label
3944,226,D-D,616,edge,_label
3955,1572,D-U,226,edge,_label
3973,234,C-B,227,edge,_label
3976,227,D-C,235,edge,_label
3985,549,C-B,227,edge,_label
3992,227,F-C,1587,edge,_label
4018,231,C-C,231,edge,_label
4024,231,B-C,234,edge,_label
4041,965,C-F,231,edge,_label
4056,231,F-C,972,edge,_label
4059,1043,C-U,231,edge,_label
4131,1305,C-A,236,edge,_label
4136,236,U-C,1307,edge,_label
4146,237,T-B,272,edge,_label
4159,583,B-D,237,edge,_label
4166,237,B-B,1058,edge,_label
4218,239,B-T,537,edge,_label
4221,885,T-B,239,edge,_label
4227,1181,T-C,239,edge,_label
4272,243,D-D,1896,edge,_label
4279,2105,D-U,243,edge,_label
4283,442,U-T,245,edge,_label
4290,245,U-U,1915,edge,_label
4294,246,T-T,302,edge,_label
4304,247,U-B,547,edge,_label
4353,492,U-U,252,edge,_label
4410,253,T-P,272,edge,_label
4416,253,P-P,498,edge,_label
4417,540,P-F,253,edge,_label
4420,253,T-P,721,edge,_label
4432,253,T-P,1259,edge,_label
4489,1435,D-U,256,edge,_label
4494,257,T-C,264,edge,_label
4497,688,C-T,257,edge,_label
4517,261,D-D,261,edge,_label
4518,261,D-D,261,edge,_label
4540,262,T-U,992,edge,_label
4553,679,P-T,263,edge,_label
4577,688,T-T,264,edge,_label
4600,265,U-U,1435,edge,_label
4617,268,T-T,268,edge,_label
4618,268,T-T,268,edge,_label
4620,268,T-T,272,edge,_label
4622,268,U-T,492,edge,_label
4629,688,T-T,268,edge,_label
4645,1435,U-U,269,edge,_label
4646,269,U-U,1435,edge,_label
4655,274,T-R,272,edge,_label
4661,277,T-E,272,edge,_label
4676,272,B-T,1714,edge,_label
4682,274,T-R,315,edge,_label
4683,275,D-D,275,edge,_label
4684,275,D-D,275,edge,_label
4700,275,U-D,554,edge,_label
4719,827,F-D,276,edge,_label
4773,2131,D-U,278,edge,_label
4838,283,M-P,1350,edge,_label
4843,1648,P-D,283,edge,_label
4869,289,T-T,284,edge,_label
4870,284,T-T,289,edge,_label
4874,284,U-T,291,edge,_label
4876,284,T-T,292,edge,_label
4897,292,T-T,285,edge,_label
4901,294,T-T,285,edge,_label
4919,289,T-T,286,edge,_label
4925,292,T-T,286,edge,_label
4936,286,T-T,543,edge,_label
4938,286,T-T,919,edge,_label
4951,293,T-T,287,edge,_label
4990,289,T-T,293,edge,_label
5069,293,U-T,291,edge,_label
5083,293,T-T,292,edge,_label
5086,292,T-T,294,edge,_label
5089,474,T-T,292,edge,_label
5096,292,O-T,918,edge,_label
5108,293,T-T,1003,edge,_label
5109,294,T-T,294,edge,_label
5110,294,T-T,294,edge,_label
5121,543,T-T,294,edge,_label
5122,294,T-T,543,edge,_label
5151,301,B-T,298,edge,_label
5167,305,T-R,299,edge,_label
5170,299,F-T,306,edge,_label
5172,299,P-T,307,edge,_label
5186,300,B-T,591,edge,_label
5192,300,T-T,1087,edge,_label
5195,1866,T-T,300,edge,_label
5217,1808,T-B,301,edge,_label
5222,302,U-T,308,edge,_label
5269,1511,T-T,302,edge,_label
5278,302,B-T,1770,edge,_label
5352,307,T-P,1259,edge,_label
5354,307,U-P,2267,edge,_label
5363,316,T-T,316,edge,_label
5373,1109,O-T,318,edge,_label
5377,1152,O-T,318,edge,_label
5381,319,U-U,319,edge,_label
5382,319,U-U,319,edge,_label
5388,319,G-U,1695,edge,_label
5398,322,T-O,674,edge,_label
5417,429,O-G,325,edge,_label
5420,325,P-O,775,edge,_label
5422,325,A-O,1054,edge,_label
5423,326,M-M,326,edge,_label
5424,326,M-M,326,edge,_label
5429,329,E-E,328,edge,_label
5443,2114,E-C,328,edge,_label
5450,328,U-E,2270,edge,_label
5463,2114,E-C,329,edge,_label
5489,581,F-T,334,edge,_label
5522,334,T-F,2260,edge,_label
5555,339,M-M,339,edge,_label
5582,341,T-T,342,edge,_label
5605,382,T-T,342,edge,_label
5618,344,T-T,382,edge,_label
5631,346,T-T,346,edge,_label
5632,346,T-T,346,edge,_label
5669,352,D-D,350,edge,_label
5670,350,D-D,352,edge,_label
5672,350,D-D,353,edge,_label
5760,356,T-D,393,edge,_label
5761,394,D-D,356,edge,_label
5772,357,R-T,359,edge,_label
5775,425,T-C,357,edge,_label
5779,1960,T-O,357,edge,_label
5793,721,R-T,359,edge,_label
5794,359,T-R,721,edge,_label
5823,988,T-T,365,edge,_label
5826,365,T-T,1202,edge,_label
5853,1200,T-T,368,edge,_label
5858,369,D-T,643,edge,_label
5862,369,T-T,988,edge,_label
5917,375,C-C,372,edge,_label
5922,372,P-C,777,edge,_label
5939,1599,C-C,373,edge,_label
5942,373,C-C,1994,edge,_label
5950,374,U-M,430,edge,_label
5951,1568,M-D,374,edge,_label
5956,374,U-M,1983,edge,_label
5978,376,T-G,652,edge,_label
5980,376,D-G,784,edge,_label
5981,836,G-D,376,edge,_label
6005,379,E-T,378,edge,_label
6030,382,U-T,384,edge,_label
6050,386,B-D,549,edge,_label
6061,2351,D-M,386,edge,_label
6065,388,D-D,388,edge,_label
6069,684,D-E,388,edge,_label
6074,388,D-D,827,edge,_label
6079,830,D-D,388,edge,_label
6083,874,D-C,388,edge,_label
6095,389,F-F,389,edge,_label
6096,389,F-F,389,edge,_label
6104,390,T-T,566,edge,_label
6107,597,T-T,390,edge,_label
6110,390,B-T,622,edge,_label
6121,1071,T-T,390,edge,_label
6132,390,U-T,1090,edge,_label
6141,1772,T-D,390,edge,_label
6170,393,D-T,394,edge,_label
6205,664,O-M,398,edge,_label
6206,398,M-O,664,edge,_label
6214,398,P-O,1100,edge,_label
6216,398,P-O,1102,edge,_label
6221,1346,O-U,398,edge,_label
6285,416,C-F,401,edge,_label
6290,401,P-C,767,edge,_label
6314,406,D-U,784,edge,_label
6327,410,U-U,410,edge,_label
6328,410,U-U,410,edge,_label
6332,411,U-T,412,edge,_label
6346,416,U-F,417,edge,_label
6355,422,F-U,416,edge,_label
6395,417,U-U,417,edge,_label
6396,417,U-U,417,edge,_label
6408,419,C-T,644,edge,_label
6414,421,C-U,644,edge,_label
6415,996,U-P,421,edge,_label
6472,425,U-C,1915,edge,_label
6475,2010,C-D,425,edge,_label
6484,426,C-T,644,edge,_label
6486,426,F-T,1187,edge,_label
6497,642,U-U,427,edge,_label
6507,428,U-U,428,edge,_label
6509,433,U-T,428,edge,_label
6511,445,U-U,428,edge,_label
6517,641,U-D,428,edge,_label
6535,1017,U-U,428,edge,_label
6547,1808,U-B,428,edge,_label
6549,1814,U-P,428,edge,_label
6579,644,U-C,430,edge,_label
6588,431,D-R,784,edge,_label
6601,439,U-D,435,edge,_label
6606,435,B-U,441,edge,_label
6615,440,D-U,439,edge,_label
6634,441,B-B,1232,edge,_label
6641,444,T-U,442,edge,_label
6648,442,T-T,460,edge,_label
6675,1516,T-A,442,edge,_label
6683,2040,T-D,442,edge,_label
6684,442,D-T,2040,edge,_label
6686,442,D-T,2257,edge,_label
6687,492,O-U,443,edge,_label
6691,882,O-P,443,edge,_label
6705,1249,U-C,444,edge,_label
6707,2040,U-D,444,edge,_label
6709,882,U-P,445,edge,_label
6782,456,O-O,458,edge,_label
6799,1714,T-B,460,edge,_label
6800,460,B-T,1714,edge,_label
6852,465,O-O,467,edge,_label
6872,472,P-T,498,edge,_label
6897,581,F-T,478,edge,_label
6898,478,T-F,581,edge,_label
6909,1600,F-R,478,edge,_label
6916,478,P-F,1776,edge,_label
6934,480,T-T,660,edge,_label
6967,588,F-F,486,edge,_label
6975,1114,F-F,486,edge,_label
6993,492,T-U,490,edge,_label
7017,591,U-B,492,edge,_label
7019,642,U-U,492,edge,_label
7090,494,P-P,498,edge,_label
7098,494,P-P,502,edge,_label
7128,496,U-P,1435,edge,_label
7134,496,C-P,2090,edge,_label
7142,497,P-P,498,edge,_label
7223,501,P-P,500,edge,_label
7232,500,G-P,983,edge,_label
7246,500,C-P,1672,edge,_label
7256,501,D-P,1136,edge,_label
7268,503,T-P,504,edge,_label
7272,503,T-P,506,edge,_label
7291,988,T-T,504,edge,_label
7295,1202,T-T,504,edge,_label
7297,1645,T-D,504,edge,_label
7381,1136,T-D,508,edge,_label
7419,1777,T-M,508,edge,_label
7428,508,M-T,1781,edge,_label
7435,1785,T-M,508,edge,_label
7442,509,T-T,673,edge,_label
7444,509,T-T,679,edge,_label
7453,989,T-T,509,edge,_label
7459,1202,T-T,509,edge,_label
7507,517,O-O,517,edge,_label
7508,517,O-O,517,edge,_label
7517,2238,O-F,518,edge,_label
7525,521,P-P,521,edge,_label
7526,521,P-P,521,edge,_label
7529,523,B-B,523,edge,_label
7530,523,B-B,523,edge,_label
7574,537,F-B,595,edge,_label
7581,1179,B-D,537,edge,_label
7592,537,A-B,1589,edge,_label
7599,1593,B-M,537,edge,_label
7607,1597,B-U,537,edge,_label
7652,544,T-U,697,edge,_label
7654,544,D-U,709,edge,_label
7673,872,T-T,545,edge,_label
7706,549,O-B,560,edge,_label
7712,549,U-B,563,edge,_label
7716,549,O-B,565,edge,_label
7721,568,B-D,549,edge,_label
7724,549,D-B,784,edge,_label
7733,1714,B-B,549,edge,_label
7745,2086,B-B,549,edge,_label
7751,850,M-C,550,edge,_label
7753,1614,M-D,550,edge,_label
7767,1020,U-B,554,edge,_label
7802,566,T-T,570,edge,_label
7815,1031,T-O,566,edge,_label
7824,566,B-T,1052,edge,_label
7830,566,T-T,1071,edge,_label
7840,566,T-T,1088,edge,_label
7845,1093,T-M,566,edge,_label
7851,1500,T-U,566,edge,_label
7854,566,O-T,1524,edge,_label
7855,1525,T-B,566,edge,_label
7875,1550,T-M,566,edge,_label
7878,566,R-T,1551,edge,_label
7903,571,G-D,569,edge,_label
7912,570,U-T,677,edge,_label
7935,575,T-T,575,edge,_label
7936,575,T-T,575,edge,_label
7976,583,F-D,584,edge,_label
7979,586,D-F,583,edge,_label
7984,583,F-D,588,edge,_label
8018,584,F-F,1113,edge,_label
8019,1114,F-F,584,edge,_label
8023,1443,F-D,584,edge,_label
8032,585,F-F,586,edge,_label
8045,1034,F-F,585,edge,_label
8054,585,D-F,1118,edge,_label
8083,684,F-E,586,edge,_label
8151,1113,F-F,588,edge,_label
8241,2208,B-T,591,edge,_label
8262,594,B-D,1058,edge,_label
8265,595,F-F,595,edge,_label
8266,595,F-F,595,edge,_label
8271,857,F-D,595,edge,_label
8273,858,F-U,595,edge,_label
8282,595,B-F,985,edge,_label
8305,875,T-T,597,edge,_label
8306,597,T-T,875,edge,_label
8312,597,D-T,2096,edge,_label
8314,598,T-O,752,edge,_label
8340,601,U-P,2318,edge,_label
8344,603,D-D,603,edge,_label
8357,610,D-U,603,edge,_label
8397,827,B-D,622,edge,_label
8482,628,M-C,664,edge,_label
8491,1034,C-F,628,edge,_label
8496,628,P-C,1100,edge,_label
8512,631,E-E,631,edge,_label
8525,1114,E-F,631,edge,_label
8527,1817,E-F,631,edge,_label
8532,631,D-E,2040,edge,_label
8572,641,U-D,1028,edge,_label
8574,642,C-U,644,edge,_label
8594,643,U-D,1022,edge,_label
8602,643,F-D,2020,edge,_label
8628,644,F-C,972,edge,_label
8654,647,U-U,1028,edge,_label
8682,651,B-P,727,edge,_label
8684,651,M-P,1311,edge,_label
8699,1962,T-U,652,edge,_label
8710,653,U-U,1812,edge,_label
8723,671,P-T,659,edge,_label
8769,1766,U-T,663,edge,_label
8795,1912,O-B,665,edge,_label
8796,665,B-O,1912,edge,_label
8837,673,T-T,673,edge,_label
8838,673,T-T,673,edge,_label
8846,674,U-T,677,edge,_label
8893,727,E-B,684,edge,_label
8919,1203,T-U,688,edge,_label
8922,688,T-T,1205,edge,_label
8938,691,T-T,845,edge,_label
8939,1028,T-U,691,edge,_label
8959,699,T-O,697,edge,_label
8961,700,T-R,697,edge,_label
8962,697,R-T,700,edge,_label
8963,882,T-P,697,edge,_label
8964,697,P-T,882,edge,_label
8967,699,O-O,699,edge,_label
9023,710,D-D,709,edge,_label
9042,713,T-G,1259,edge,_label
9118,723,B-B,1068,edge,_label
9131,1068,T-B,725,edge,_label
9132,725,B-T,1068,edge,_label
9149,732,B-T,727,edge,_label
9165,741,B-T,727,edge,_label
9180,727,B-B,1068,edge,_label
9191,1068,T-B,730,edge,_label
9203,1068,T-B,731,edge,_label
9207,1068,T-B,732,edge,_label
9219,1236,B-T,733,edge,_label
9268,741,B-T,1068,edge,_label
9280,745,B-T,1068,edge,_label
9286,748,T-B,752,edge,_label
9287,811,B-B,748,edge,_label
9295,1231,B-B,748,edge,_label
9316,749,G-G,749,edge,_label
9343,756,P-P,753,edge,_label
9354,753,U-P,761,edge,_label
9379,774,P-P,753,edge,_label
9402,761,P-U,767,edge,_label
9405,767,U-P,762,edge,_label
9408,763,U-U,765,edge,_label
9412,764,U-U,765,edge,_label
9422,765,P-U,771,edge,_label
9423,772,U-P,765,edge,_label
9437,771,P-P,767,edge,_label
9438,767,P-P,771,edge,_label
9441,773,P-P,767,edge,_label
9448,767,U-P,816,edge,_label
9478,775,P-P,782,edge,_label
9490,775,P-P,788,edge,_label
9504,775,P-P,795,edge,_label
9528,777,C-P,799,edge,_label
9557,888,P-O,783,edge,_label
9559,997,D-C,784,edge,_label
9564,784,U-D,1008,edge,_label
9595,1482,D-E,784,edge,_label
9634,784,P-D,1501,edge,_label
9644,788,B-P,1068,edge,_label
9647,806,P-P,789,edge,_label
9653,804,P-P,791,edge,_label
9658,791,M-P,1350,edge,_label
9663,806,C-P,794,edge,_label
9665,806,P-P,795,edge,_label
9670,798,P-P,804,edge,_label
9673,888,P-O,798,edge,_label
9675,806,C-P,799,edge,_label
9691,806,P-P,803,edge,_label
9700,806,P-P,808,edge,_label
9706,806,B-P,811,edge,_label
9717,1187,B-F,811,edge,_label
9720,811,T-B,1227,edge,_label
9726,811,T-B,1268,edge,_label
9727,1272,B-B,811,edge,_label
9758,818,U-D,2192,edge,_label
9822,827,D-D,830,edge,_label
9840,827,U-D,839,edge,_label
9853,1624,D-F,829,edge,_label
9864,831,D-D,1066,edge,_label
9865,833,D-D,833,edge,_label
9866,833,D-D,833,edge,_label
9868,833,U-D,858,edge,_label
9877,1031,D-O,833,edge,_label
9921,2003,D-U,836,edge,_label
9941,844,O-O,844,edge,_label
9942,844,O-O,844,edge,_label
9945,845,T-T,845,edge,_label
9949,846,D-D,846,edge,_label
9950,846,D-D,846,edge,_label
9963,856,O-C,849,edge,_label
9985,855,D-C,852,edge,_label
10067,2208,T-T,870,edge,_label
10069,873,T-U,872,edge,_label
10071,2257,T-D,872,edge,_label
10078,874,B-C,876,edge,_label
10085,1087,T-T,875,edge,_label
10133,1817,U-F,887,edge,_label
10145,2141,U-D,887,edge,_label
10193,902,M-M,902,edge,_label
10194,902,M-M,902,edge,_label
10199,1137,M-M,902,edge,_label
10208,904,R-E,1131,edge,_label
10224,907,O-O,1146,edge,_label
10225,1147,O-O,907,edge,_label
10238,908,F-F,909,edge,_label
10251,2267,P-U,910,edge,_label
10305,1912,M-B,927,edge,_label
10319,931,D-D,931,edge,_label
10320,931,D-D,931,edge,_label
10326,933,C-C,1726,edge,_label
10330,934,F-O,935,edge,_label
10334,934,O-O,937,edge,_label
10341,1276,O-C,934,edge,_label
10345,937,O-O,936,edge,_label
10401,957,T-T,951,edge,_label
10406,959,F-F,960,edge,_label
10409,972,F-F,959,edge,_label
10599,1223,T-T,988,edge,_label
10648,996,A-P,1099,edge,_label
10669,1007,U-U,1004,edge,_label
10672,1004,U-U,1619,edge,_label
10730,1015,G-G,1015,edge,_label
10769,2213,U-U,1021,edge,_label
10794,1025,F-T,1767,edge,_label
10796,1025,P-T,1852,edge,_label
10824,1031,F-O,1974,edge,_label
10849,1112,F-F,1034,edge,_label
10857,1122,F-F,1034,edge,_label
10919,1041,D-D,1041,edge,_label
10925,1044,D-G,1041,edge,_label
10957,1131,P-R,1045,edge,_label
10975,1452,E-U,1048,edge,_label
11019,1602,D-E,1055,edge,_label
11022,1055,C-D,1672,edge,_label
11024,1055,T-D,1784,edge,_label
11035,1059,C-C,1059,edge,_label
11036,1059,C-C,1059,edge,_label
11057,1321,D-M,1063,edge,_label
11066,1063,F-D,1815,edge,_label
11075,2280,D-C,1063,edge,_label
11089,1707,F-U,1065,edge,_label
11097,1070,T-T,1069,edge,_label
11124,1071,F-T,1563,edge,_label
11136,1073,D-T,1849,edge,_label
11204,1087,T-T,1087,edge,_label
11205,1088,T-T,1087,edge,_label
11206,1087,T-T,1088,edge,_label
11210,1093,F-M,1974,edge,_label
11224,1100,T-P,1265,edge,_label
11229,1103,P-U,1102,edge,_label
11244,1106,T-P,1109,edge,_label
11247,1392,T-U,1109,edge,_label
11259,1952,F-U,1111,edge,_label
11260,1111,U-F,1952,edge,_label
11264,1113,F-F,1114,edge,_label
11279,1116,F-F,1114,edge,_label
11289,1767,F-F,1114,edge,_label
11303,2114,F-C,1116,edge,_label
11316,1122,F-F,1817,edge,_label
11328,1124,U-U,1126,edge,_label
11330,1124,U-U,1127,edge,_label
11338,1130,R-R,2188,edge,_label
11357,1138,M-M,1137,edge,_label
11376,1139,U-U,1810,edge,_label
11428,1147,O-O,1150,edge,_label
11439,1392,T-U,1152,edge,_label
11442,1153,O-O,1153,edge,_label
11453,1154,F-F,1154,edge,_label
11454,1154,F-F,1154,edge,_label
11457,1157,F-O,1154,edge,_label
11461,1161,U-U,1161,edge,_label
11462,1161,U-U,1161,edge,_label
11494,1172,A-B,1845,edge,_label
11495,1174,D-D,1174,edge,_label
11496,1174,D-D,1174,edge,_label
11507,1714,T-B,1177,edge,_label
11519,1192,D-M,1179,edge,_label
11522,1180,U-D,1936,edge,_label
11524,1180,U-D,2153,edge,_label
11532,1181,U-C,1936,edge,_label
11541,1294,F-M,1187,edge,_label
11549,1806,F-T,1187,edge,_label
11550,1187,T-F,1806,edge,_label
11554,1187,D-F,1923,edge,_label
11556,1187,C-F,2090,edge,_label
11560,1187,O-F,2202,edge,_label
11601,1198,O-O,1197,edge,_label
11613,1202,T-T,1200,edge,_label
11662,1208,U-B,1803,edge,_label
11669,1587,M-F,1210,edge,_label
11695,1222,D-C,1221,edge,_label
11696,1221,C-D,1222,edge,_label
11697,1225,T-T,1225,edge,_label
11711,1234,B-U,1232,edge,_label
11718,1233,B-B,2164,edge,_label
11756,1250,U-T,1915,edge,_label
11772,1256,C-T,1680,edge,_label
11777,1259,T-T,1259,edge,_label
11781,1261,P-P,1261,edge,_label
11782,1261,P-P,1261,edge,_label
11784,1261,F-P,1262,edge,_label
11813,1968,C-M,1276,edge,_label
11814,1276,M-C,1968,edge,_label
11852,1294,D-M,2308,edge,_label
11858,1299,G-G,1299,edge,_label
11902,1310,O-C,1685,edge,_label
11903,2101,C-U,1310,edge,_label
11906,1310,F-C,2102,edge,_label
11917,1315,M-G,1311,edge,_label
11936,1311,B-M,1912,edge,_label
11969,1817,G-F,1331,edge,_label
11992,1337,B-F,1341,edge,_label
12007,1648,F-D,1337,edge,_label
12008,1337,D-F,1648,edge,_label
12041,2220,M-C,1350,edge,_label
